,Date,Status,MH
0,14-Mar-20,Confirmed,14
1,14-Mar-20,Recovered,0
2,14-Mar-20,Deceased,0
3,15-Mar-20,Confirmed,18
4,15-Mar-20,Recovered,0
5,15-Mar-20,Deceased,0
6,16-Mar-20,Confirmed,6
7,16-Mar-20,Recovered,0
8,16-Mar-20,Deceased,0
9,17-Mar-20,Confirmed,3
10,17-Mar-20,Recovered,0
11,17-Mar-20,Deceased,1
12,18-Mar-20,Confirmed,3
13,18-Mar-20,Recovered,0
14,18-Mar-20,Deceased,0
15,19-Mar-20,Confirmed,4
16,19-Mar-20,Recovered,0
17,19-Mar-20,Deceased,0
18,20-Mar-20,Confirmed,4
19,20-Mar-20,Recovered,0
20,20-Mar-20,Deceased,0
21,21-Mar-20,Confirmed,12
22,21-Mar-20,Recovered,0
23,21-Mar-20,Deceased,0
24,22-Mar-20,Confirmed,10
25,22-Mar-20,Recovered,0
26,22-Mar-20,Deceased,1
27,23-Mar-20,Confirmed,23
28,23-Mar-20,Recovered,0
29,23-Mar-20,Deceased,0
30,24-Mar-20,Confirmed,10
31,24-Mar-20,Recovered,0
32,24-Mar-20,Deceased,0
33,25-Mar-20,Confirmed,15
34,25-Mar-20,Recovered,1
35,25-Mar-20,Deceased,0
36,26-Mar-20,Confirmed,3
37,26-Mar-20,Recovered,0
38,26-Mar-20,Deceased,1
39,27-Mar-20,Confirmed,31
40,27-Mar-20,Recovered,18
41,27-Mar-20,Deceased,1
42,28-Mar-20,Confirmed,30
43,28-Mar-20,Recovered,6
44,28-Mar-20,Deceased,2
45,29-Mar-20,Confirmed,17
46,29-Mar-20,Recovered,0
47,29-Mar-20,Deceased,1
48,30-Mar-20,Confirmed,17
49,30-Mar-20,Recovered,14
50,30-Mar-20,Deceased,2
51,31-Mar-20,Confirmed,82
52,31-Mar-20,Recovered,0
53,31-Mar-20,Deceased,1
54,01-Apr-20,Confirmed,33
55,01-Apr-20,Recovered,0
56,01-Apr-20,Deceased,3
57,02-Apr-20,Confirmed,88
58,02-Apr-20,Recovered,3
59,02-Apr-20,Deceased,8
60,03-Apr-20,Confirmed,64
61,03-Apr-20,Recovered,8
62,03-Apr-20,Deceased,5
63,04-Apr-20,Confirmed,148
64,04-Apr-20,Recovered,2
65,04-Apr-20,Deceased,6
66,05-Apr-20,Confirmed,112
67,05-Apr-20,Recovered,4
68,05-Apr-20,Deceased,13
69,06-Apr-20,Confirmed,121
70,06-Apr-20,Recovered,14
71,06-Apr-20,Deceased,7
72,07-Apr-20,Confirmed,150
73,07-Apr-20,Recovered,9
74,07-Apr-20,Deceased,12
75,08-Apr-20,Confirmed,117
76,08-Apr-20,Recovered,38
77,08-Apr-20,Deceased,8
78,09-Apr-20,Confirmed,229
79,09-Apr-20,Recovered,8
80,09-Apr-20,Deceased,25
81,10-Apr-20,Confirmed,210
82,10-Apr-20,Recovered,63
83,10-Apr-20,Deceased,12
84,11-Apr-20,Confirmed,187
85,11-Apr-20,Recovered,20
86,11-Apr-20,Deceased,17
87,12-Apr-20,Confirmed,221
88,12-Apr-20,Recovered,9
89,12-Apr-20,Deceased,22
90,13-Apr-20,Confirmed,352
91,13-Apr-20,Recovered,12
92,13-Apr-20,Deceased,11
93,14-Apr-20,Confirmed,346
94,14-Apr-20,Recovered,30
95,14-Apr-20,Deceased,18
96,15-Apr-20,Confirmed,236
97,15-Apr-20,Recovered,36
98,15-Apr-20,Deceased,9
99,16-Apr-20,Confirmed,285
100,16-Apr-20,Recovered,5
101,16-Apr-20,Deceased,7
102,17-Apr-20,Confirmed,120
103,17-Apr-20,Recovered,31
104,17-Apr-20,Deceased,7
105,18-Apr-20,Confirmed,327
106,18-Apr-20,Recovered,34
107,18-Apr-20,Deceased,10
108,19-Apr-20,Confirmed,552
109,19-Apr-20,Recovered,142
110,19-Apr-20,Deceased,12
111,20-Apr-20,Confirmed,466
112,20-Apr-20,Recovered,65
113,20-Apr-20,Deceased,9
114,21-Apr-20,Confirmed,552
115,21-Apr-20,Recovered,150
116,21-Apr-20,Deceased,19
117,22-Apr-20,Confirmed,431
118,22-Apr-20,Recovered,67
119,22-Apr-20,Deceased,18
120,23-Apr-20,Confirmed,778
121,23-Apr-20,Recovered,51
122,23-Apr-20,Deceased,14
123,24-Apr-20,Confirmed,390
124,24-Apr-20,Recovered,117
125,24-Apr-20,Deceased,18
126,25-Apr-20,Confirmed,811
127,25-Apr-20,Recovered,119
128,25-Apr-20,Deceased,22
129,26-Apr-20,Confirmed,440
130,26-Apr-20,Recovered,112
131,26-Apr-20,Deceased,19
132,27-Apr-20,Confirmed,522
133,27-Apr-20,Recovered,94
134,27-Apr-20,Deceased,27
135,28-Apr-20,Confirmed,728
136,28-Apr-20,Recovered,106
137,28-Apr-20,Deceased,31
138,29-Apr-20,Confirmed,597
139,29-Apr-20,Recovered,205
140,29-Apr-20,Deceased,32
141,30-Apr-20,Confirmed,583
142,30-Apr-20,Recovered,180
143,30-Apr-20,Deceased,27
144,01-May-20,Confirmed,1008
145,01-May-20,Recovered,106
146,01-May-20,Deceased,26
147,02-May-20,Confirmed,790
148,02-May-20,Recovered,121
149,02-May-20,Deceased,36
150,03-May-20,Confirmed,678
151,03-May-20,Recovered,115
152,03-May-20,Deceased,27
153,04-May-20,Confirmed,1567
154,04-May-20,Recovered,350
155,04-May-20,Deceased,35
156,05-May-20,Confirmed,984
157,05-May-20,Recovered,354
158,05-May-20,Deceased,34
159,06-May-20,Confirmed,1233
160,06-May-20,Recovered,275
161,06-May-20,Deceased,34
162,07-May-20,Confirmed,1216
163,07-May-20,Recovered,207
164,07-May-20,Deceased,43
165,08-May-20,Confirmed,1089
166,08-May-20,Recovered,169
167,08-May-20,Deceased,37
168,09-May-20,Confirmed,1165
169,09-May-20,Recovered,330
170,09-May-20,Deceased,48
171,10-May-20,Confirmed,1943
172,10-May-20,Recovered,399
173,10-May-20,Deceased,53
174,11-May-20,Confirmed,1230
175,11-May-20,Recovered,587
176,11-May-20,Deceased,36
177,12-May-20,Confirmed,1026
178,12-May-20,Recovered,339
179,12-May-20,Deceased,53
180,13-May-20,Confirmed,1495
181,13-May-20,Recovered,422
182,13-May-20,Deceased,54
183,14-May-20,Confirmed,1602
184,14-May-20,Recovered,542
185,14-May-20,Deceased,44
186,15-May-20,Confirmed,1576
187,15-May-20,Recovered,475
188,15-May-20,Deceased,49
189,16-May-20,Confirmed,1606
190,16-May-20,Recovered,524
191,16-May-20,Deceased,67
192,17-May-20,Confirmed,2347
193,17-May-20,Recovered,600
194,17-May-20,Deceased,63
195,18-May-20,Confirmed,2005
196,18-May-20,Recovered,749
197,18-May-20,Deceased,51
198,19-May-20,Confirmed,2078
199,19-May-20,Recovered,1202
200,19-May-20,Deceased,76
201,20-May-20,Confirmed,2161
202,20-May-20,Recovered,679
203,20-May-20,Deceased,65
204,21-May-20,Confirmed,2345
205,21-May-20,Recovered,1408
206,21-May-20,Deceased,64
207,22-May-20,Confirmed,2940
208,22-May-20,Recovered,857
209,22-May-20,Deceased,63
210,23-May-20,Confirmed,2608
211,23-May-20,Recovered,821
212,23-May-20,Deceased,60
213,24-May-20,Confirmed,3041
214,24-May-20,Recovered,1196
215,24-May-20,Deceased,58
216,25-May-20,Confirmed,2436
217,25-May-20,Recovered,1186
218,25-May-20,Deceased,60
219,26-May-20,Confirmed,2091
220,26-May-20,Recovered,1168
221,26-May-20,Deceased,97
222,27-May-20,Confirmed,2190
223,27-May-20,Recovered,964
224,27-May-20,Deceased,105
225,28-May-20,Confirmed,2598
226,28-May-20,Recovered,698
227,28-May-20,Deceased,85
228,29-May-20,Confirmed,2682
229,29-May-20,Recovered,8381
230,29-May-20,Deceased,116
231,30-May-20,Confirmed,2940
232,30-May-20,Recovered,1084
233,30-May-20,Deceased,99
234,31-May-20,Confirmed,2487
235,31-May-20,Recovered,1248
236,31-May-20,Deceased,89
237,01-Jun-20,Confirmed,2358
238,01-Jun-20,Recovered,779
239,01-Jun-20,Deceased,76
240,02-Jun-20,Confirmed,2287
241,02-Jun-20,Recovered,1225
242,02-Jun-20,Deceased,103
243,03-Jun-20,Confirmed,2560
244,03-Jun-20,Recovered,996
245,03-Jun-20,Deceased,122
246,04-Jun-20,Confirmed,2933
247,04-Jun-20,Recovered,1352
248,04-Jun-20,Deceased,123
249,05-Jun-20,Confirmed,2436
250,05-Jun-20,Recovered,1466
251,05-Jun-20,Deceased,139
252,06-Jun-20,Confirmed,2739
253,06-Jun-20,Recovered,2243
254,06-Jun-20,Deceased,120
255,07-Jun-20,Confirmed,3007
256,07-Jun-20,Recovered,1924
257,07-Jun-20,Deceased,91
258,08-Jun-20,Confirmed,2554
259,08-Jun-20,Recovered,1661
260,08-Jun-20,Deceased,109
261,09-Jun-20,Confirmed,2258
262,09-Jun-20,Recovered,1664
263,09-Jun-20,Deceased,120
264,10-Jun-20,Confirmed,3254
265,10-Jun-20,Recovered,1877
266,10-Jun-20,Deceased,149
267,11-Jun-20,Confirmed,3607
268,11-Jun-20,Recovered,1562
269,11-Jun-20,Deceased,152
270,12-Jun-20,Confirmed,3493
271,12-Jun-20,Recovered,1718
272,12-Jun-20,Deceased,127
273,13-Jun-20,Confirmed,3427
274,13-Jun-20,Recovered,1550
275,13-Jun-20,Deceased,113
276,14-Jun-20,Confirmed,3390
277,14-Jun-20,Recovered,1632
278,14-Jun-20,Deceased,120
279,15-Jun-20,Confirmed,2786
280,15-Jun-20,Recovered,5071
281,15-Jun-20,Deceased,178
282,16-Jun-20,Confirmed,2701
283,16-Jun-20,Recovered,1802
284,16-Jun-20,Deceased,1409
285,17-Jun-20,Confirmed,3307
286,17-Jun-20,Recovered,1315
287,17-Jun-20,Deceased,114
288,18-Jun-20,Confirmed,3752
289,18-Jun-20,Recovered,1672
290,18-Jun-20,Deceased,100
291,19-Jun-20,Confirmed,3827
292,19-Jun-20,Recovered,1935
293,19-Jun-20,Deceased,142
294,20-Jun-20,Confirmed,3874
295,20-Jun-20,Recovered,1380
296,20-Jun-20,Deceased,91
297,21-Jun-20,Confirmed,3870
298,21-Jun-20,Recovered,1591
299,21-Jun-20,Deceased,186
300,22-Jun-20,Confirmed,3721
301,22-Jun-20,Recovered,1962
302,22-Jun-20,Deceased,113
303,23-Jun-20,Confirmed,3214
304,23-Jun-20,Recovered,1925
305,23-Jun-20,Deceased,248
306,24-Jun-20,Confirmed,3889
307,24-Jun-20,Recovered,4161
308,24-Jun-20,Deceased,208
309,25-Jun-20,Confirmed,4842
310,25-Jun-20,Recovered,3661
311,25-Jun-20,Deceased,192
312,26-Jun-20,Confirmed,5024
313,26-Jun-20,Recovered,2362
314,26-Jun-20,Deceased,175
315,27-Jun-20,Confirmed,6368
316,27-Jun-20,Recovered,4430
317,27-Jun-20,Deceased,167
318,28-Jun-20,Confirmed,5493
319,28-Jun-20,Recovered,2330
320,28-Jun-20,Deceased,156
321,29-Jun-20,Confirmed,5257
322,29-Jun-20,Recovered,2385
323,29-Jun-20,Deceased,181
324,30-Jun-20,Confirmed,4878
325,30-Jun-20,Recovered,1951
326,30-Jun-20,Deceased,245
327,01-Jul-20,Confirmed,5537
328,01-Jul-20,Recovered,2243
329,01-Jul-20,Deceased,198
330,02-Jul-20,Confirmed,6328
331,02-Jul-20,Recovered,8018
332,02-Jul-20,Deceased,125
333,03-Jul-20,Confirmed,6364
334,03-Jul-20,Recovered,3515
335,03-Jul-20,Deceased,198
336,04-Jul-20,Confirmed,7074
337,04-Jul-20,Recovered,3395
338,04-Jul-20,Deceased,295
339,05-Jul-20,Confirmed,6555
340,05-Jul-20,Recovered,3658
341,05-Jul-20,Deceased,151
342,06-Jul-20,Confirmed,5368
343,06-Jul-20,Recovered,3522
344,06-Jul-20,Deceased,204
345,07-Jul-20,Confirmed,5134
346,07-Jul-20,Recovered,3296
347,07-Jul-20,Deceased,224
348,08-Jul-20,Confirmed,6603
349,08-Jul-20,Recovered,4634
350,08-Jul-20,Deceased,198
351,09-Jul-20,Confirmed,6875
352,09-Jul-20,Recovered,4067
353,09-Jul-20,Deceased,219
354,10-Jul-20,Confirmed,7862
355,10-Jul-20,Recovered,5366
356,10-Jul-20,Deceased,226
357,11-Jul-20,Confirmed,8139
358,11-Jul-20,Recovered,4360
359,11-Jul-20,Deceased,223
360,12-Jul-20,Confirmed,7827
361,12-Jul-20,Recovered,3340
362,12-Jul-20,Deceased,173
363,13-Jul-20,Confirmed,6497
364,13-Jul-20,Recovered,4182
365,13-Jul-20,Deceased,193
366,14-Jul-20,Confirmed,6741
367,14-Jul-20,Recovered,4500
368,14-Jul-20,Deceased,213
369,15-Jul-20,Confirmed,7975
370,15-Jul-20,Recovered,3606
371,15-Jul-20,Deceased,233
372,16-Jul-20,Confirmed,8641
373,16-Jul-20,Recovered,5527
374,16-Jul-20,Deceased,266
375,17-Jul-20,Confirmed,8308
376,17-Jul-20,Recovered,2217
377,17-Jul-20,Deceased,258
378,18-Jul-20,Confirmed,8348
379,18-Jul-20,Recovered,5306
380,18-Jul-20,Deceased,144
381,19-Jul-20,Confirmed,9518
382,19-Jul-20,Recovered,3906
383,19-Jul-20,Deceased,258
384,20-Jul-20,Confirmed,8240
385,20-Jul-20,Recovered,5460
386,20-Jul-20,Deceased,176
387,21-Jul-20,Confirmed,8336
388,21-Jul-20,Recovered,7188
389,21-Jul-20,Deceased,246
390,22-Jul-20,Confirmed,10576
391,22-Jul-20,Recovered,5552
392,22-Jul-20,Deceased,280
393,23-Jul-20,Confirmed,9895
394,23-Jul-20,Recovered,6484
395,23-Jul-20,Deceased,298
396,24-Jul-20,Confirmed,9615
397,24-Jul-20,Recovered,5714
398,24-Jul-20,Deceased,278
399,25-Jul-20,Confirmed,9251
400,25-Jul-20,Recovered,7227
401,25-Jul-20,Deceased,257
402,26-Jul-20,Confirmed,9431
403,26-Jul-20,Recovered,6044
404,26-Jul-20,Deceased,267
405,27-Jul-20,Confirmed,7924
406,27-Jul-20,Recovered,8706
407,27-Jul-20,Deceased,227
408,28-Jul-20,Confirmed,7717
409,28-Jul-20,Recovered,10333
410,28-Jul-20,Deceased,282
411,29-Jul-20,Confirmed,9211
412,29-Jul-20,Recovered,7478
413,29-Jul-20,Deceased,298
414,30-Jul-20,Confirmed,11147
415,30-Jul-20,Recovered,8860
416,30-Jul-20,Deceased,266
417,31-Jul-20,Confirmed,10320
418,31-Jul-20,Recovered,7543
419,31-Jul-20,Deceased,265
420,01-Aug-20,Confirmed,9601
421,01-Aug-20,Recovered,10725
422,01-Aug-20,Deceased,322
423,02-Aug-20,Confirmed,9509
424,02-Aug-20,Recovered,9926
425,02-Aug-20,Deceased,260
426,03-Aug-20,Confirmed,8968
427,03-Aug-20,Recovered,10221
428,03-Aug-20,Deceased,266
429,04-Aug-20,Confirmed,7760
430,04-Aug-20,Recovered,12326
431,04-Aug-20,Deceased,300
432,05-Aug-20,Confirmed,10309
433,05-Aug-20,Recovered,6165
434,05-Aug-20,Deceased,334
435,06-Aug-20,Confirmed,11514
436,06-Aug-20,Recovered,10854
437,06-Aug-20,Deceased,316
438,07-Aug-20,Confirmed,10483
439,07-Aug-20,Recovered,10906
440,07-Aug-20,Deceased,300
441,08-Aug-20,Confirmed,12822
442,08-Aug-20,Recovered,11081
443,08-Aug-20,Deceased,275
444,09-Aug-20,Confirmed,12248
445,09-Aug-20,Recovered,13348
446,09-Aug-20,Deceased,390
447,10-Aug-20,Confirmed,9181
448,10-Aug-20,Recovered,6711
449,10-Aug-20,Deceased,293
450,11-Aug-20,Confirmed,11088
451,11-Aug-20,Recovered,10014
452,11-Aug-20,Deceased,256
453,12-Aug-20,Confirmed,12712
454,12-Aug-20,Recovered,13408
455,12-Aug-20,Deceased,344
456,13-Aug-20,Confirmed,11813
457,13-Aug-20,Recovered,9115
458,13-Aug-20,Deceased,413
459,14-Aug-20,Confirmed,12608
460,14-Aug-20,Recovered,10484
461,14-Aug-20,Deceased,364
462,15-Aug-20,Confirmed,12020
463,15-Aug-20,Recovered,6844
464,15-Aug-20,Deceased,322
465,16-Aug-20,Confirmed,11111
466,16-Aug-20,Recovered,8837
467,16-Aug-20,Deceased,288
468,17-Aug-20,Confirmed,8493
469,17-Aug-20,Recovered,11391
470,17-Aug-20,Deceased,228
471,18-Aug-20,Confirmed,11119
472,18-Aug-20,Recovered,9356
473,18-Aug-20,Deceased,422
474,19-Aug-20,Confirmed,13165
475,19-Aug-20,Recovered,9011
476,19-Aug-20,Deceased,346
477,20-Aug-20,Confirmed,14647
478,20-Aug-20,Recovered,12243
479,20-Aug-20,Deceased,326
480,21-Aug-20,Confirmed,14161
481,21-Aug-20,Recovered,11749
482,21-Aug-20,Deceased,339
483,22-Aug-20,Confirmed,14492
484,22-Aug-20,Recovered,9241
485,22-Aug-20,Deceased,297
486,23-Aug-20,Confirmed,10441
487,23-Aug-20,Recovered,8157
488,23-Aug-20,Deceased,258
489,24-Aug-20,Confirmed,11015
490,24-Aug-20,Recovered,14219
491,24-Aug-20,Deceased,212
492,25-Aug-20,Confirmed,10425
493,25-Aug-20,Recovered,12300
494,25-Aug-20,Deceased,329
495,26-Aug-20,Confirmed,14888
496,26-Aug-20,Recovered,7637
497,26-Aug-20,Deceased,295
498,27-Aug-20,Confirmed,14857
499,27-Aug-20,Recovered,9136
500,27-Aug-20,Deceased,355
501,28-Aug-20,Confirmed,14427
502,28-Aug-20,Recovered,11607
503,28-Aug-20,Deceased,331
504,29-Aug-20,Confirmed,16286
505,29-Aug-20,Recovered,11541
506,29-Aug-20,Deceased,328
507,30-Aug-20,Confirmed,16408
508,30-Aug-20,Recovered,7690
509,30-Aug-20,Deceased,296
510,31-Aug-20,Confirmed,11852
511,31-Aug-20,Recovered,11158
512,31-Aug-20,Deceased,184
513,01-Sep-20,Confirmed,15765
514,01-Sep-20,Recovered,10978
515,01-Sep-20,Deceased,320
516,02-Sep-20,Confirmed,17433
517,02-Sep-20,Recovered,13959
518,02-Sep-20,Deceased,292
519,03-Sep-20,Confirmed,18105
520,03-Sep-20,Recovered,13988
521,03-Sep-20,Deceased,391
522,04-Sep-20,Confirmed,19218
523,04-Sep-20,Recovered,13289
524,04-Sep-20,Deceased,378
525,05-Sep-20,Confirmed,20800
526,05-Sep-20,Recovered,10801
527,05-Sep-20,Deceased,312
528,06-Sep-20,Confirmed,23350
529,06-Sep-20,Recovered,7826
530,06-Sep-20,Deceased,328
531,07-Sep-20,Confirmed,16429
532,07-Sep-20,Recovered,14922
533,07-Sep-20,Deceased,423
534,08-Sep-20,Confirmed,20131
535,08-Sep-20,Recovered,13234
536,08-Sep-20,Deceased,380
537,09-Sep-20,Confirmed,23577
538,09-Sep-20,Recovered,13906
539,09-Sep-20,Deceased,380
540,10-Sep-20,Confirmed,23446
541,10-Sep-20,Recovered,14253
542,10-Sep-20,Deceased,495
543,11-Sep-20,Confirmed,24886
544,11-Sep-20,Recovered,14308
545,11-Sep-20,Deceased,442
546,12-Sep-20,Confirmed,22084
547,12-Sep-20,Recovered,13489
548,12-Sep-20,Deceased,391
549,13-Sep-20,Confirmed,22313
550,13-Sep-20,Recovered,11549
551,13-Sep-20,Deceased,416
552,14-Sep-20,Confirmed,17066
553,14-Sep-20,Recovered,15789
554,14-Sep-20,Deceased,363
555,15-Sep-20,Confirmed,20482
556,15-Sep-20,Recovered,19423
557,15-Sep-20,Deceased,515
558,16-Sep-20,Confirmed,23365
559,16-Sep-20,Recovered,17559
560,16-Sep-20,Deceased,474
561,17-Sep-20,Confirmed,24619
562,17-Sep-20,Recovered,19522
563,17-Sep-20,Deceased,468
